City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Faanui,PF,-16.4833,-151.75,81.28,74,100,22.37,overcast clouds
235,Kisangani,CD,0.5167,25.2,76.42,42,72,3.2,broken clouds
236,Gwadar,PK,25.1216,62.3254,71.6,80,0,8.79,clear sky
237,Revelstoke,CA,50.9832,-118.2023,33.82,93,100,0.0,overcast clouds
238,Steamboat Springs,US,40.485,-106.8317,29.7,67,0,0.0,clear sky
239,Kropotkin,RU,45.4375,40.5756,33.98,79,100,11.79,overcast clouds
240,Solec Kujawski,PL,53.0837,18.2257,41.38,59,100,8.01,overcast clouds
241,Pevek,RU,69.7008,170.3133,-24.29,99,27,0.78,scattered clouds
242,Alihe,CN,50.5667,123.7167,-7.87,97,86,2.91,overcast clouds
243,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,9.22,light rain
244,Dawei,MM,14.0833,98.2,72.3,88,61,3.69,broken clouds
245,Nanortalik,GL,60.1432,-45.2371,15.66,67,100,20.38,overcast clouds
246,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,16.11,broken clouds
247,Cardenas,CU,23.0375,-81.2047,83.16,62,3,15.12,clear sky
248,Edgewater,US,28.9889,-80.9023,72.01,82,100,9.22,overcast clouds
249,Loreto,MX,22.2667,-101.9667,70.54,20,3,17.58,clear sky
250,Dharchula,IN,29.85,80.5333,47.57,49,76,5.5,broken clouds
251,Saldanha,ZA,-33.0117,17.9442,68.05,96,38,9.33,scattered clouds
252,Bako,ET,5.7833,36.5667,70.74,33,94,3.22,overcast clouds
253,Inhambane,MZ,-23.865,35.3833,78.78,89,20,11.5,few clouds
254,Sechura,PE,-5.5569,-80.8222,81.63,56,49,15.95,scattered clouds
255,Varberg,SE,57.1056,12.2508,38.05,92,100,15.59,overcast clouds
256,Leningradskiy,RU,69.3833,178.4167,-22.86,98,28,6.69,scattered clouds
257,Kholtoson,RU,50.2981,103.3097,-4.38,94,19,4.05,few clouds
258,Saint George,US,37.1041,-113.5841,61.27,21,0,1.01,clear sky
259,Ahipara,NZ,-35.1667,173.1667,73.51,97,100,6.22,overcast clouds
260,Mahdasht,IR,35.7299,50.8111,43.02,52,40,13.8,scattered clouds
261,Copiapo,CL,-27.3667,-70.3333,73.09,31,0,11.01,clear sky
262,Przeworsk,PL,50.0591,22.4941,40.93,73,100,23.49,overcast clouds
263,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,86,70,12.97,broken clouds
264,Chapais,CA,49.7834,-74.8492,6.58,93,100,10.27,light snow
265,Paamiut,GL,61.994,-49.6678,5.88,78,100,11.21,overcast clouds
266,Thinadhoo,MV,0.5333,72.9333,82.53,68,82,11.14,broken clouds
267,Airai,TL,-8.9266,125.4092,60.55,89,86,1.52,overcast clouds
268,Nuuk,GL,64.1835,-51.7216,5.61,78,75,21.85,broken clouds
269,Saint-Francois,FR,46.4154,3.9054,47.64,76,100,12.66,overcast clouds
270,Tecoanapa,MX,16.5167,-98.75,84.99,52,54,11.5,broken clouds
271,Cabo San Lucas,MX,22.8909,-109.9124,76.6,63,1,5.01,clear sky
272,Koungou,YT,-12.7336,45.2042,80.31,89,0,2.3,clear sky
273,Nelipyno,UA,48.561,23.0315,37.26,94,100,6.76,overcast clouds
274,Shahrud,IR,36.4182,54.9763,30.16,67,20,4.52,few clouds
275,Amapa,BR,1.0,-52.0,72.57,99,100,3.49,overcast clouds
276,Verkhoyansk,RU,67.5447,133.385,-31.79,97,100,1.01,overcast clouds
277,Victor Harbor,AU,-35.5667,138.6167,78.8,62,0,8.01,clear sky
278,Crotone,IT,39.0851,17.1178,51.89,100,0,3.44,clear sky
279,Alofi,NU,-19.0595,-169.9187,75.09,94,100,11.5,overcast clouds
280,Esperance,AU,-33.8667,121.9,62.44,63,100,22.53,overcast clouds
281,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,69,40,15.99,scattered clouds
282,Nara,JP,34.6851,135.8049,36.68,62,38,2.82,scattered clouds
283,Ilo,PE,-17.6394,-71.3375,71.92,73,100,6.06,moderate rain
284,Mangan,IN,27.5167,88.5333,49.06,60,3,3.56,clear sky
285,Mehamn,NO,71.0357,27.8492,21.11,89,28,15.41,scattered clouds
286,Tsiroanomandidy,MG,-18.7667,46.0333,66.83,96,100,7.23,overcast clouds
287,Krasnyy Yar,RU,46.5331,48.3456,30.13,68,100,6.69,overcast clouds
288,Goderich,CA,43.7501,-81.7165,28.9,74,100,14.97,overcast clouds
289,Daru,PG,-9.0763,143.2092,78.03,87,100,6.31,overcast clouds
290,Arkhangelsk,RU,64.5401,40.5433,8.71,84,40,8.95,scattered clouds
291,Antofagasta,CL,-23.65,-70.4,74.21,59,0,7.31,clear sky
292,Terrace,CA,54.5163,-128.6035,42.42,87,75,21.85,broken clouds
293,Nome,US,64.5011,-165.4064,-0.33,55,0,5.75,clear sky
294,Puerto Rico,AR,-26.796,-55.024,89.15,23,0,7.14,clear sky
295,Baykit,RU,61.67,96.37,-3.73,100,100,2.35,overcast clouds
296,Dingle,PH,10.9995,122.6711,73.09,90,80,8.12,broken clouds
297,Mende,FR,44.6667,3.5,32.14,97,100,10.09,overcast clouds
298,Hammerfest,NO,70.6634,23.6821,31.73,74,0,14.97,clear sky
299,Haines Junction,CA,60.7522,-137.5108,40.95,38,100,12.66,overcast clouds
300,Koslan,RU,63.4564,48.8989,15.39,94,100,8.34,overcast clouds
301,Nosy Varika,MG,-20.5833,48.5333,78.57,92,100,10.45,light rain
302,Murgab,TM,37.4966,61.9714,40.87,70,100,11.5,light intensity shower rain
303,Naze,JP,28.3667,129.4833,51.98,62,100,7.07,overcast clouds
304,Ulladulla,AU,-35.35,150.4667,60.1,81,57,9.53,broken clouds
305,Weligama,LK,5.9667,80.4167,75.61,82,80,1.9,broken clouds
306,Dhidhdhoo,MV,6.8833,73.1,80.31,72,63,9.28,broken clouds
307,San Quintin,MX,30.4833,-115.95,64.83,29,0,6.08,clear sky
308,Katobu,ID,-4.9408,122.5276,75.04,94,31,4.7,scattered clouds
309,Great Yarmouth,GB,52.6083,1.7305,43.21,71,100,29.73,overcast clouds
310,Selvazzano Dentro,IT,45.3914,11.8005,46.65,90,100,7.0,overcast clouds
311,Clyde River,CA,70.4692,-68.5914,-28.97,68,0,6.91,haze
312,Tupelo,US,34.2576,-88.7034,51.78,34,0,4.61,clear sky
313,Ikirun,NG,7.9167,4.6667,79.75,20,0,2.44,clear sky
314,Bellary,IN,15.15,76.9333,72.3,68,93,4.32,overcast clouds
315,Saint-Augustin,CA,51.226,-58.6502,-3.32,73,5,11.36,clear sky
316,Te Anau,NZ,-45.4167,167.7167,46.24,76,12,0.36,few clouds
317,Kuching,MY,1.55,110.3333,75.42,100,40,2.3,heavy intensity rain
318,Moville,US,42.4889,-96.0725,33.69,55,39,20.6,scattered clouds
319,Ostrovnoy,RU,68.0531,39.5131,13.86,87,99,22.12,overcast clouds
320,Kaa-Khem,RU,51.6833,94.7333,-19.77,93,33,2.64,scattered clouds
321,Zverinogolovskoye,RU,54.4586,64.8542,3.58,87,63,6.58,broken clouds
322,Riberalta,BO,-10.9833,-66.1,89.8,58,75,9.22,broken clouds
323,Pitimbu,BR,-7.4706,-34.8086,86.59,65,12,11.72,few clouds
324,Amboasary,MG,-25.0333,46.3833,76.84,90,100,9.53,light rain
325,Port Lincoln,AU,-34.7333,135.8667,72.18,58,0,14.54,clear sky
326,Kuala Terengganu,MY,5.3302,103.1408,80.55,89,40,10.36,scattered clouds
327,Rajgarh,IN,28.6333,75.3833,57.52,59,55,10.2,broken clouds
328,Hilliard,US,40.0334,-83.1582,36.48,63,0,7.0,clear sky
329,Ilulissat,GL,69.2167,-51.1,1.42,60,100,5.75,overcast clouds
330,Samfya,ZM,-11.3649,29.5565,64.96,94,96,4.61,light rain
331,Vage,NO,60.0469,5.5178,35.46,96,98,15.12,overcast clouds
332,Ancud,CL,-41.8697,-73.8203,75.22,68,9,7.36,clear sky
333,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,33,0,12.66,clear sky
334,Sukhobuzimskoye,RU,56.5,93.2728,24.44,91,100,4.74,overcast clouds
335,Port Shepstone,ZA,-30.7414,30.455,73.26,86,41,12.62,light rain
336,Brunico,IT,46.7958,11.9364,37.58,86,78,0.67,broken clouds
337,Port Elizabeth,ZA,-33.918,25.5701,77.09,83,0,14.97,clear sky
338,Bayan,CN,46.0833,127.4,-10.89,100,94,3.15,overcast clouds
339,Moa,CU,20.6569,-74.9403,78.37,65,67,12.68,broken clouds
340,Lewiston,US,44.1003,-70.2148,23.72,54,0,10.36,clear sky
